region_id,region_type,region
417528,neigh,Little Hollywood; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417527,neigh,Silver Terrace; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417525,neigh,Clarendon Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417524,neigh,Buena Vista; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417523,neigh,Alamo Square; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417522,neigh,Panhandle; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417521,neigh,Anza Vista; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417520,neigh,Laurel Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417519,neigh,Corona Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417518,neigh,Duboce Triangle; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417516,neigh,Golden Gate Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417513,neigh,Westwood Highlands; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417512,neigh,Monterey Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417511,neigh,St. Francis Wood; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417510,neigh,Westwood Park; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417509,neigh,Mount Davidson Manor; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417508,neigh,Balboa Terrace; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417507,neigh,Ingleside Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417504,neigh,Merced Manor; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417501,neigh,Lower Pacific Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417498,neigh,Midtown Terrace; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417496,neigh,Mission Terrace; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417494,neigh,Ingleside Terrace; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417493,neigh,Tenderloin; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
417492,neigh,North Waterfront; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
415247,neigh,Sunnyside; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
35760,neigh,Presidio; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
275789,neigh,Upper Market; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
274872,neigh,Oceanview; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
274552,neigh,Mission; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
274422,neigh,Marina; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
274246,neigh,Lakeshore; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
273404,neigh,Crocker Amazon; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
272885,neigh,Bayview; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268570,neigh,Visitacion Valley; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268517,neigh,Telegraph Hill; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268491,neigh,South of Market; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268462,neigh,Seacliff; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268450,neigh,Russian Hill; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268419,neigh,Presidio Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268414,neigh,Potrero Hill; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268396,neigh,Parkside; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268385,neigh,Pacific Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268384,neigh,Outer Sunset; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268383,neigh,Outer Richmond; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268382,neigh,Outer Mission; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268338,neigh,Noe Valley; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268337,neigh,Nob Hill; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268305,neigh,Mission Bay; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268303,neigh,Miraloma Park; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268220,neigh,Inner Sunset; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268219,neigh,Inner Richmond; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268218,neigh,Hunters Point; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268206,neigh,Hayes Valley; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268201,neigh,Haight; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268177,neigh,Glen Park; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268156,neigh,Financial District; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268150,neigh,Excelsior; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268114,neigh,Downtown; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268110,neigh,Diamond Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268096,neigh,Cow Hollow; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
268020,neigh,Bernal Heights; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
256657,neigh,Lake; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
255961,neigh,Forest Hill; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
251072,neigh,Stonestown; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
227971,neigh,Lone Mountain; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
223174,neigh,Sherwood Forest; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
207518,neigh,South Beach; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
118904,neigh,Western Addition; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
118310,neigh,Parkmerced; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
117447,neigh,Portola; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
116918,neigh,North Beach; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
115774,neigh,Ingleside; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
115133,neigh,Forest Knolls; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
114291,neigh,Chinatown; CA; San Francisco-Oakland-Hayward; San Francisco County; San Francisco
